ID,Poet,Poetry
11,ahmad-faraz,"aise chup hain ki ye manzil bhi kaDi ho jaise 
tera milna bhi juda.i ki ghaDi ho jaise 
apne hi saa.e se har gaam laraz jaata huun 
raste men koi divar khaDi ho jaise 
kitne nadan hain tire bhulne vaale ki tujhe 
yaad karne ke liye umr paDi ho jaise 
tere mathe ki shikan pahle bhi dekhi thi magar 
ye girah ab ke mire dil men paDi ho jaise 
manzilen duur bhi hain manzilen nazdik bhi hain 
apne hi paanv men zanjir paDi ho jaise 
aaj dil khol ke ro.e hain to yuun khush hain 'faraz' 
chand lamhon ki ye rahat bhi baDi ho jaise"
12,ahmad-faraz,"ajab junun-e-masafat men ghar se nikla tha 
khabar nahin hai ki suraj kidhar se nikla tha 
ye kaun phir se unhin raston men chhoD gaya 
abhi abhi to azab-e-safar se nikla tha 
ye tiir dil men magar be-sabab nahin utra 
koi to harf lab-e-charagar se nikla tha 
ye ab jo aag bana shahr shahr phaila hai 
yahi dhuan mire divar-o-dar se nikla tha 
main raat TuuT ke roya to chain se soya 
ki dil ka zahr miri chashm-e-tar se nikla tha 
ye ab jo sar hain khamida kulah ki khatir 
ye aib bhi to ham ahl-e-hunar se nikla tha 
vo qais ab jise majnun pukarte hain 'faraz' 
tiri tarah koi divana ghar se nikla tha"
13,ahmad-faraz,"avval avval ki dosti hai abhi 
ik ghazal hai ki ho rahi hai abhi 
main bhi shahr-e-vafa men nau-varid 
vo bhi ruk ruk ke chal rahi hai abhi 
main bhi aisa kahan ka zud-shanas 
vo bhi lagta hai sochti hai abhi 
dil ki varaftagi hai apni jagah 
phir bhi kuchh ehtiyat si hai abhi 
garche pahla sa ijtinab nahin 
phir bhi kam kam supurdagi hai abhi 
kaisa mausam hai kuchh nahin khulta 
bunda-bandi bhi dhuup bhi hai abhi 
khud-kalami men kab ye nashsha tha 
jis tarah ru-ba-ru koi hai abhi 
qurbaten laakh khub-surat hon 
duriyon men bhi dilkashi hai abhi 
fasl-e-gul men bahar pahla gulab 
kis ki zulfon men Tankti hai abhi 
muddaten ho ga.iin 'faraz' magar 
vo jo divangi ki thi hai abhi"
14,ahmad-faraz,"dost ban kar bhi nahin saath nibhane vaala 
vahi andaz hai zalim ka zamane vaala 
ab use log samajhte hain giraftar mira 
sakht nadim hai mujhe daam men laane vaala 
sub.h-dam chhoD gaya nik.hat-e-gul ki surat 
raat ko ghuncha-e-dil men simaT aane vaala 
kya kahen kitne marasim the hamare us se 
vo jo ik shakhs hai munh pher ke jaane vaala 
tere hote hue aa jaati thi saari duniya 
aaj tanha huun to koi nahin aane vaala 
muntazir kis ka huun TuuTi hui dahliz pe main 
kaun aa.ega yahan kaun hai aane vaala 
kya khabar thi jo miri jaan men ghula hai itna 
hai vahi mujh ko sar-e-dar bhi laane vaala 
main ne dekha hai baharon men chaman ko jalte 
hai koi khvab ki tabir batane vaala 
tum takalluf ko bhi ikhlas samajhte ho 'faraz' 
dost hota nahin har haath milane vaala"
15,ahmad-faraz,"dukh fasana nahin ki tujh se kahen 
dil bhi maana nahin ki tujh se kahen 
aaj tak apni bekali ka sabab 
khud bhi jaana nahin ki tujh se kahen 
be-tarah hal-e-dil hai aur tujh se 
dostana nahin ki tujh se kahen 
ek tu harf-e-ashna tha magar 
ab zamana nahin ki tujh se kahen 
qasida ham faqir logon ka 
ik Thikana nahin ki tujh se kahen 
ai khuda dard-e-dil hai bakhshish-e-dost 
ab-o-dana nahin ki tujh se kahen 
ab to apna bhi us gali men 'faraz' 
aana jaana nahin ki tujh se kahen"
16,ahmad-faraz,"guftugu achchhi lagi zauq-e-nazar achchha laga 
muddaton ke baad koi ham-safar achchha laga 
dil ka dukh jaana to dil ka mas.ala hai par hamen 
us ka hans dena hamare haal par achchha laga 
har tarah ki be-sar-o-samaniyon ke bavajud 
aaj vo aaya to mujh ko apna ghar achchha laga 
baghban gulchin ko chahe jo kahe ham ko to phuul 
shakh se baDh kar kaf-e-dildar par achchha laga 
koi maqtal men na pahuncha kaun zalim tha jise 
tegh-e-qatil se ziyada apna sar achchha laga 
ham bhi qaa.el hain vafa men ustuvari ke magar 
koi puchhe kaun kis ko umr bhar achchha laga 
apni apni chahaten hain log ab jo bhi kahen 
ik pari-paikar ko ik ashufta-sar achchha laga 
'mir' ke manind aksar ziist karta tha 'faraz' 
tha to vo divana sa sha.ir magar achchha laga"
17,ahmad-faraz,"har koi dil ki hatheli pe hai sahra rakkhe 
kis ko sairab kare vo kise pyasa rakkhe 
umr bhar kaun nibhata hai ta.alluq itna 
ai miri jaan ke dushman tujhe allah rakkhe 
ham ko achchha nahin lagta koi hamnam tira 
koi tujh sa ho to phir naam bhi tujh sa rakkhe 
dil bhi pagal hai ki us shakhs se vabasta hai 
jo kisi aur ka hone de na apna rakkhe 
kam nahin tama-e-ibadat bhi to hirs-e-zar se 
faqr to vo hai ki jo diin na duniya rakkhe 
hans na itna bhi faqiron ke akele-pan par 
ja khuda meri tarah tujh ko bhi tanha rakkhe 
ye qana.at hai ita.at hai ki chahat hai 'faraz' 
ham to raazi hain vo jis haal men jaisa rakkhe"
18,ahmad-faraz,"hava ke zor se pindar-e-bam-o-dar bhi gaya 
charagh ko jo bachate the un ka ghar bhi gaya 
pukarte rahe mahfuz kashtiyon vaale 
main Dubta hua dariya ke paar utar bhi gaya 
ab ehtiyat ki divar kya uThate ho 
jo chor dil men chhupa tha vo kaam kar bhi gaya 
main chup raha ki isi men thi afiyat jaan ki 
koi to meri tarah tha jo daar par bhi gaya 
sulagte sochte viran mausamon ki tarah 
kaDa tha ahd-e-javani magar guzar bhi gaya 
jise bhula na saka us ko yaad kya rakhta 
jo naam lab pe raha zehn se utar bhi gaya 
phaTi phaTi hui ankhon se yuun na dekh mujhe 
tujhe talash hai jis shakhs ki vo mar bhi gaya 
magar falak ko adavat usi ke ghar se thi 
jahan 'faraz' na tha sail-e-gham udhar bhi gaya"
19,ahmad-faraz,"hui hai shaam to ankhon men bas gaya phir tu 
kahan gaya hai mire shahr ke musafir tu 
miri misal ki ik nakhl-e-khushk-e-sahra huun 
tira khayal ki shakh-e-chaman ka taa.ir tu 
main janta huun ki duniya tujhe badal degi 
main manta huun ki aisa nahin ba-zahir tu 
hansi-khushi se bichhaD ja agar bichhaDna hai 
ye har maqam pe kya sochta hai akhir tu 
faza udaas hai rut muzmahil hai main chup huun 
jo ho sake to chala aa kisi ki khatir tu 
'faraz' tu ne use mushkilon men Daal diya 
zamana sahab-e-zar aur sirf sha.er tu"
20,ahmad-faraz,"is qadar musalsal thiin shiddaten juda.i ki 
aaj pahli baar us se main ne bevafa.i ki 
varna ab talak yuun tha khvahishon ki barish men 
ya to TuuT kar roya ya ghazal-sara.i ki 
taj diya tha kal jin ko ham ne teri chahat men 
aaj un se majburan taaza ashna.i ki 
ho chala tha jab mujh ko ikhtilaf apne se 
tu ne kis ghaDi zalim meri ham-nava.i ki 
tark kar chuke qasid ku-e-na-muradan ko 
kaun ab khabar laave shahr-e-ashna.i ki 
tanz o ta.ana o tohmat sab hunar hain naseh ke 
aap se koi puchhe ham ne kya bura.i ki 
phir qafas men shor uTTha qaidiyon ka aur sayyad 
dekhna uDa dega phir khabar riha.i ki 
dukh hua jab us dar par kal 'faraz' ko dekha 
laakh aib the us men khu na thi gada.i ki"
21,ahmad-faraz,"is se pahle ki be-vafa ho jaa.en 
kyuun na ai dost ham juda ho jaa.en 
tu bhi hiire se ban gaya patthar 
ham bhi kal jaane kya se kya ho jaa.en 
tu ki yakta tha be-shumar hua 
ham bhi TuTen to ja-ba-ja ho jaa.en 
ham bhi majburiyon ka uzr karen 
phir kahin aur mubtala ho jaa.en 
ham agar manzilen na ban paa.e 
manzilon tak ka rasta ho jaa.en 
der se soch men hain parvane 
raakh ho jaa.en ya hava ho jaa.en 
ishq bhi khel hai nasibon ka 
khaak ho jaa.en kimiya ho jaa.en 
ab ke gar tu mile to ham tujh se 
aise lipTen tiri qaba ho jaa.en 
bandagi ham ne chhoD di hai 'faraz' 
kya karen log jab khuda ho jaa.en"
22,ahmad-faraz,"jab bhi dil khol ke ro.e honge 
log aram se so.e honge 
ba.az auqat ba-majburi-e-dil 
ham to kya aap bhi ro.e honge 
sub.h tak dast-e-saba ne kya kya 
phuul kanTon men piro.e honge 
vo safine jinhen tufan na mile 
na-khudaon ne Dubo.e honge 
raat bhar hanste hue taron ne 
un ke aariz bhi bhigo.e honge 
kya ajab hai vo mile bhi hon 'faraz' 
ham kisi dhyan men kho.e honge"
23,ahmad-faraz,"jis samt bhi dekhun nazar aata hai ki tum ho 
ai jan-e-jahan ye koi tum sa hai ki tum ho 
ye khvab hai khushbu hai ki jhonka hai ki pal hai 
ye dhund hai badal hai ki saaya hai ki tum ho 
is diid ki saa.at men ka.i rang hain larzan 
main huun ki koi aur hai duniya hai ki tum ho 
dekho ye kisi aur ki ankhen hain ki meri 
dekhun ye kisi aur ka chehra hai ki tum ho 
ye umr-e-gurezan kahin Thahre to ye janun 
har saans men mujh ko yahi lagta hai ki tum ho 
har bazm men mauzu-e-sukhan dil-zadagan ka 
ab kaun hai shirin hai ki laila hai ki tum ho 
ik dard ka phaila hua sahra hai ki main huun 
ik mauj men aaya hua dariya hai ki tum ho 
vo vaqt na aa.e ki dil-e-zar bhi soche 
is shahr men tanha koi ham sa hai ki tum ho 
abad ham ashufta-saron se nahin maqtal 
ye rasm abhi shahr men zinda hai ki tum ho 
ai jan-e-'faraz' itni bhi taufiq kise thi 
ham ko gham-e-hasti bhi gavara hai ki tum ho"
24,ahmad-faraz,"jo ghair the vo isi baat par hamare hue 
ki ham se dost bahut be-khabar hamare hue 
kise khabar vo mohabbat thi ya raqabat thi 
bahut se log tujhe dekh kar hamare hue 
ab ik hujum-e-shikasta-dilan hai saath apne 
jinhen koi na mila ham-safar hamare hue 
kisi ne gham to kisi ne mizaj-e-gham bakhsha 
sab apni apni jagah charagar hamare hue 
bujha ke taaq ki sham.en na dekh taron ko 
isi junun men to barbad ghar hamare hue 
vo e'timad kahan se 'faraz' la.enge 
kisi ko chhoD ke vo ab agar hamare hue"
25,ahmad-faraz,"juz tire koi bhi din raat na jaane mere 
tu kahan hai magar ai dost purane mere 
tu bhi khushbu hai magar mera tajassus bekar 
barg-e-avara ki manind Thikane mere 
sham.a ki lau thi ki vo tu tha magar hijr ki raat 
der tak rota raha koi sirhane mere 
khalq ki be-khabari hai ki miri rusva.i 
log mujh ko hi sunate hain fasane mere 
luT ke bhi khush huun ki ashkon se bhara hai daman 
dekh gharat-gar-e-dil ye bhi khazane mere 
aaj ik aur baras biit gaya us ke baghair 
jis ke hote hue hote the zamane mere 
kaash tu bhi meri avaz kahin sunta ho 
phir pukara hai tujhe dil ki sada ne mere 
kaash tu bhi kabhi aa jaa.e masiha.i ko 
log aate hain bahut dil ko dukhane mere 
kaash auron ki tarah main bhi kabhi kah sakta 
baat sun li hai miri aaj khuda ne mere 
tu hai kis haal men ai zud-faramosh mire 
mujh ko to chhin liya ahd-e-vafa ne mere 
charagar yuun to bahut hain magar ai jan-e-'faraz' 
juz tire aur koi zakhm na jaane mere"
26,ahmad-faraz,"karun na yaad magar kis tarah bhula.un use 
ghazal bahana karun aur gunguna.un use 
vo khaar khaar hai shakh-e-gulab ki manind 
main zakhm zakhm huun phir bhi gale laga.un use 
ye log tazkire karte hain apne logon ke 
main kaise baat karun ab kahan se la.un use 
magar vo zud-faramosh zud-ranj bhi hai 
ki ruuTh jaa.e agar yaad kuchh dila.un use 
vahi jo daulat-e-dil hai vahi jo rahat-e-jan 
tumhari baat pe ai naseho ganva.un use 
jo ham-safar sar-e-manzil bichhaD raha hai 'faraz' 
ajab nahin hai agar yaad bhi na aa.uun use"
27,ahmad-faraz,"kaThin hai rahguzar thoDi duur saath chalo 
bahut kaDa hai safar thoDi duur saath chalo 
tamam umr kahan koi saath deta hai 
ye janta huun magar thoDi duur saath chalo 
nashe men chuur huun main bhi tumhen bhi hosh nahin 
baDa maza ho agar thoDi duur saath chalo 
ye ek shab ki mulaqat bhi ghanimat hai 
kise hai kal ki khabar thoDi duur saath chalo 
abhi to jaag rahe hain charagh rahon ke 
abhi hai duur sahar thoDi duur saath chalo 
tavaf-e-manzil-e-janan hamen bhi karna hai 
'faraz' tum bhi agar thoDi duur saath chalo"
28,ahmad-faraz,"khamosh ho kyuun dad-e-jafa kyuun nahin dete 
bismil ho to qatil ko dua kyuun nahin dete 
vahshat ka sabab rauzan-e-zindan to nahin hai 
mehr o mah o anjum ko bujha kyuun nahin dete 
ik ye bhi to andaz-e-ilaj-e-gham-e-jan hai 
ai charagaro dard baDha kyuun nahin dete 
munsif ho agar tum to kab insaf karoge 
mujrim hain agar ham to saza kyuun nahin dete 
rahzan ho to hazir hai mata-e-dil-o-jan bhi 
rahbar ho to manzil ka pata kyuun nahin dete 
kya biit ga.i ab ke 'faraz' ahl-e-chaman par 
yaran-e-qafas mujh ko sada kyuun nahin dete"
29,ahmad-faraz,"kya aise kam-sukhan se koi guftugu kare 
jo mustaqil sukut se dil ko lahu kare 
ab to hamen bhi tark-e-marasim ka dukh nahin 
par dil ye chahta hai ki aghaz tu kare 
tere baghair bhi to ghanimat hai zindagi 
khud ko ganva ke kaun tiri justuju kare 
ab to ye aarzu hai ki vo zakhm kha.iye 
ta-zindagi ye dil na koi aarzu kare 
tujh ko bhula ke dil hai vo sharminda-e-nazar 
ab koi hadsa hi tire ru-ba-ru kare 
chup-chap apni aag men jalte raho 'faraz' 
duniya to arz-e-hal se be-abru kare"
30,ahmad-faraz,"main to maqtal men bhi qismat ka sikandar nikla 
qur.a-e-fal mire naam ka aksar nikla 
tha jinhen zo.am vo dariya bhi mujhi men Duube 
main ki sahra nazar aata tha samundar nikla 
main ne us jan-e-baharan ko bahut yaad kiya 
jab koi phuul miri shakh-e-hunar par nikla 
shahr-valon ki mohabbat ka main qaa.el huun magar 
main ne jis haath ko chuma vahi khanjar nikla 
tu yahin haar gaya hai mire buzdil dushman 
mujh se tanha ke muqabil tira lashkar nikla 
main ki sahra-e-mohabbat ka musafir tha 'faraz' 
ek jhonka tha ki khushbu ke safar par nikla"
31,ahmad-faraz,"phir usi rahguzar par shayad 
ham kabhi mil saken magar shayad 
jin ke ham muntazir rahe un ko 
mil ga.e aur ham-safar shayad 
jan-pahchan se bhi kya hoga 
phir bhi ai dost ghaur kar shayad 
ajnabiyyat ki dhund chhaT jaa.e 
chamak uTThe tiri nazar shayad 
zindagi bhar lahu rula.egi 
yad-e-yaran-e-be-khabar shayad 
jo bhi bichhDe vo kab mile hain 'faraz' 
phir bhi tu intizar kar shayad"
32,ahmad-faraz,"qurbat bhi nahin dil se utar bhi nahin jaata 
vo shakhs koi faisla kar bhi nahin jaata 
ankhen hain ki khali nahin rahti hain lahu se 
aur zakhm-e-juda.i hai ki bhar bhi nahin jaata 
vo rahat-e-jan hai magar is dar-badri men 
aisa hai ki ab dhyan udhar bhi nahin jaata 
ham dohri aziyyat ke giraftar musafir 
paanv bhi hain shal shauq-e-safar bhi nahin jaata 
dil ko tiri chahat pe bharosa bhi bahut hai 
aur tujh se bichhaD jaane ka Dar bhi nahin jaata 
pagal hue jaate ho 'faraz' us se mile kya 
itni si khushi se koi mar bhi nahin jaata"
33,ahmad-faraz,"qurbaton men bhi juda.i ke zamane mange 
dil vo be-mehr ki rone ke bahane mange 
ham na hote to kisi aur ke charche hote 
khilqat-e-shahr to kahne ko fasane mange 
yahi dil tha ki tarasta tha marasim ke liye 
ab yahi tark-e-ta.alluq ke bahane mange 
apna ye haal ki ji haar chuke luT bhi chuke 
aur mohabbat vahi andaz purane mange 
zindagi ham tire daghon se rahe sharminda 
aur tu hai ki sada a.ina-khane mange 
dil kisi haal pe qaane hi nahin jan-e-'faraz' 
mil ga.e tum bhi to kya aur na jaane mange"
34,ahmad-faraz,"ranjish hi sahi dil hi dukhane ke liye aa 
aa phir se mujhe chhoD ke jaane ke liye aa 
kuchh to mire pindar-e-mohabbat ka bharam rakh 
tu bhi to kabhi mujh ko manane ke liye aa 
pahle se marasim na sahi phir bhi kabhi to 
rasm-o-rah-e-duniya hi nibhane ke liye aa 
kis kis ko bata.enge juda.i ka sabab ham 
tu mujh se khafa hai to zamane ke liye aa 
ik umr se huun lazzat-e-girya se bhi mahrum 
ai rahat-e-jan mujh ko rulane ke liye aa 
ab tak dil-e-khush-fahm ko tujh se hain ummiden 
ye akhiri sham.en bhi bujhane ke liye aa"
35,ahmad-faraz,"rog aise bhi gham-e-yar se lag jaate hain 
dar se uThte hain to divar se lag jaate hain 
ishq aghaz men halki si khalish rakhta hai 
baad men saikDon azar se lag jaate hain 
pahle pahle havas ik-adh dukan kholti hai 
phir to bazar ke bazar se lag jaate hain 
bebasi bhi kabhi qurbat ka sabab banti hai 
ro na paa.en to gale yaar se lag jaate hain 
katranen gham ki jo galiyon men uDi phirti hain 
ghar men le aao to ambar se lag jaate hain 
daagh daman ke hon dil ke hon ki chehre ke 'faraz' 
kuchh nishan umr ki raftar se lag jaate hain"
36,ahmad-faraz,"samne us ke kabhi us ki sata.ish nahin ki 
dil ne chaha bhi agar honTon ne jumbish nahin ki 
ahl-e-mahfil pe kab ahval khula hai apna 
main bhi khamosh raha us ne bhi pursish nahin ki 
jis qadar us se ta.alluq tha chala jaata hai 
us ka kya ranj ho jis ki kabhi khvahish nahin ki 
ye bhi kya kam hai ki donon ka bharam qaa.em hai 
us ne bakhshish nahin ki ham ne guzarish nahin ki 
ik to ham ko adab adab ne pyasa rakkha 
us pe mahfil men surahi ne bhi gardish nahin ki 
ham ki dukh oDh ke khalvat men paDe rahte hain 
ham ne bazar men zakhmon ki numa.ish nahin ki 
ai mire abr-e-karam dekh ye virana-e-jan 
kya kisi dasht pe tu ne kabhi barish nahin ki 
kaT mare apne qabile ki hifazat ke liye 
maqtal-e-shahr men Thahre rahe jumbish nahin ki 
vo hamen bhuul gaya ho to ajab kya hai 'faraz' 
ham ne bhi mel-mulaqat ki koshish nahin ki"
37,ahmad-faraz,"saqiya ek nazar jaam se pahle pahle 
ham ko jaana hai kahin shaam se pahle pahle 
nau-giraftar-e-vafa sa.i-e-riha.i hai abas 
ham bhi uljhe the bahut daam se pahle pahle 
khush ho ai dil ki mohabbat to nibha di tu ne 
log ujaD jaate hain anjam se pahle pahle 
ab tire zikr pe ham baat badal dete hain 
kitni raghbat thi tire naam se pahle pahle 
samne umr paDi hai shab-e-tanha.i ki 
vo mujhe chhoD gaya shaam se pahle pahle 
kitna achchha tha ki ham bhi jiya karte the 'faraz' 
ghair-maruf se gumnam se pahle pahle"
38,ahmad-faraz,"sho.ala tha jal-bujha huun hava.en mujhe na do 
main kab ka ja chuka huun sada.en mujhe na do 
jo zahr pi chuka huun tumhin ne mujhe diya 
ab tum to zindagi ki dua.en mujhe na do 
ye bhi baDa karam hai salamat hai jism abhi 
ai khusravan-e-shahr qaba.en mujhe na do 
aisa na ho kabhi ki palaT kar na aa sakun 
har baar duur ja ke sada.en mujhe na do 
kab mujh ko e'tiraf-e-mohabbat na tha 'faraz' 
kab main ne ye kaha hai saza.en mujhe na do"
39,ahmad-faraz,"silsile toD gaya vo sabhi jaate jaate 
varna itne to marasim the ki aate jaate 
shikva-e-zulmat-e-shab se to kahin behtar tha 
apne hisse ki koi sham.a jalate jaate 
kitna asan tha tire hijr men marna janan 
phir bhi ik umr lagi jaan se jaate jaate 
jashn-e-maqtal hi na barpa hua varna ham bhi 
pa-ba-jaulan hi sahi nachte gaate jaate 
is ki vo jaane use pas-e-vafa tha ki na tha 
tum 'faraz' apni taraf se to nibhate jaate"
